lsmaccx,lsmaccy,lsmaccz,lsmangx,lsmangy,lsmangz,a0,a1,a2,f1,f2,timestamp
0,0,0,0,0,0,20805,33304,41466,0,1,1270
0,0,0,0,0,0,20821,33128,41514,0,0,1275
0,0,0,0,0,0,20917,33080,41466,0,0,1280
0,0,0,0,0,0,20901,34088,42234,0,1,1285
0,0,0,0,0,0,16532,32343,41882,0,0,1298
0,0,0,0,0,0,24758,33672,41194,0,0,1300
0,0,0,0,0,0,21141,33256,41530,0,1,1305
0,0,0,0,0,0,20965,33192,41482,0,0,1310
0,0,0,0,0,0,20853,33096,41450,0,0,1315
0,0,0,0,0,0,20917,34248,42234,0,1,1320
0,0,0,0,0,0,21013,33080,41466,0,0,1325
0,0,0,0,0,0,20805,33064,41450,0,0,1330
0,0,0,0,0,0,20805,33080,41178,0,0,1335
0,0,0,0,0,0,20725,33160,41498,0,1,1340
0,0,0,0,0,0,20789,33144,41546,0,0,1345
0,0,0,0,0,0,20773,33000,41450,0,0,1350
0,0,0,0,0,0,20837,34200,42490,0,1,1355
0,0,0,0,0,0,21013,33112,41450,0,0,1360
0,0,0,0,0,0,20789,33160,41450,0,0,1365
0,0,0,0,0,0,20789,33384,41562,0,0,1370
0,0,0,0,0,0,20901,33336,41626,0,1,1375
0,0,0,0,0,0,20885,33144,41546,0,0,1380
0,0,0,0,0,0,20773,33096,41466,0,0,1385
0,0,0,0,0,0,16371,32407,41866,1,1,1398
0,0,0,0,0,0,24758,33768,41354,0,0,1400
0,0,0,0,0,0,21157,33640,41866,0,0,1405
0,0,0,0,0,0,21045,33112,41386,0,1,1410
0,0,0,0,0,0,20805,33080,41450,0,0,1415
0,0,0,0,0,0,20757,32904,41322,0,0,1420
0,0,0,0,0,0,20773,33304,41354,0,0,1425
0,0,0,0,0,0,20805,33272,41594,0,1,1430
0,0,0,0,0,0,20773,33128,41434,0,0,1435
0,0,0,0,0,0,20725,33096,41450,0,0,1440
0,0,0,0,0,0,20709,33416,41450,1,1,1445
0,0,0,0,0,0,20677,33160,41514,0,0,1450
0,0,0,0,0,0,20693,32952,41450,0,0,1455
0,0,0,0,0,0,20661,32743,41722,0,0,1460
0,0,0,0,0,0,20789,33176,41546,0,1,1465
0,0,0,0,0,0,20789,33032,41434,0,0,1470
0,0,0,0,0,0,20677,33032,41386,0,0,1475
0,0,0,0,0,0,20757,34008,42122,0,1,1480
0,0,0,0,0,0,16323,32199,41914,1,0,1493
0,0,0,0,0,0,24662,34248,41978,0,0,1495
0,0,0,0,0,0,21221,33288,41594,0,1,1500
0,0,0,0,0,0,20901,33048,41530,0,0,1505
0,0,0,0,0,0,20757,33016,41370,0,0,1510
0,0,0,0,0,0,20677,32856,41210,0,0,1515
0,0,0,0,0,0,20757,33192,41626,0,1,1520
0,0,0,0,0,0,20757,33160,41642,0,0,1525
0,0,0,0,0,0,20725,33128,41546,0,0,1530
0,0,0,0,0,0,20805,34360,42730,1,1,1535
0,0,0,0,0,0,20949,33096,41546,0,0,1540
0,0,0,0,0,0,20709,33112,41482,0,0,1545
0,0,0,0,0,0,20677,33656,42090,0,0,1550
0,0,0,0,0,0,20789,33288,41578,0,1,1555
0,0,0,0,0,0,20805,33256,41706,0,0,1560
0,0,0,0,0,0,20741,33112,41594,0,0,1565
0,0,0,0,0,0,20661,32727,41642,1,0,1570
0,0,0,0,0,0,20773,33208,41610,0,1,1575
0,0,0,0,0,0,16291,32167,41738,0,0,1588
0,0,0,0,0,0,24758,35048,42442,0,1,1590
0,0,0,0,0,0,21269,33352,41578,0,0,1595
0,0,0,0,0,0,20949,33160,41546,0,0,1600
0,0,0,0,0,0,20773,33352,41690,1,0,1605
0,0,0,0,0,0,20805,33176,41610,0,1,1610
0,0,0,0,0,0,20741,33096,41514,0,0,1615
0,0,0,0,0,0,20693,33160,41450,0,0,1620
0,0,0,0,0,0,20645,33528,41130,0,0,1625
0,0,0,0,0,0,20629,32984,41546,0,1,1630
0,0,0,0,0,0,20693,33128,41514,0,0,1635
0,0,0,0,0,0,20661,33000,41370,1,0,1640
0,0,0,0,0,0,20677,33288,41546,0,1,1645
0,0,0,0,0,0,20677,32920,41514,0,0,1650
0,0,0,0,0,0,20613,33016,41418,0,0,1655
0,0,0,0,0,0,20565,32872,41274,0,0,1660
0,0,0,0,0,0,20693,33208,41706,0,1,1665
0,0,0,0,0,0,20693,33112,41674,0,0,1670
0,0,0,0,0,0,16275,32311,41994,1,1,1683
